pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
14 Her b,Radial Velocity,2456834.4,1.7,1.9,1765.03890112,1.67708897,1.87256063,,,,,,,144.652,6.279,3.241,,,,12.6,,,,,,0.93,0.01,0.01,0.372689,0.008388,0.00603,0.91,0.11,0.11,,,
24 Sex b,Radial Velocity,,,,452.8,2.1,4.5,,,,,,,,,,,,,13.4,,,,,,4.9,0.08,0.08,0.09,0.14,0.06,1.54,0.08,0.08,,,
24 Sex c,Radial Velocity,,,,883.0,32.4,13.8,,,,,,,,,,,,,13.9,,,,,,4.9,0.08,0.08,0.29,0.16,0.09,1.54,0.08,0.08,,,
2MASS J19383260+4603591 b,Eclipse Timing Variations,,,,406.0,4.0,4.0,,,,,,,,,,,,,13.4,,,,,,0.2,0.0,0.0,0.33,0.05,0.05,0.48,,,,,
47 UMa b,Radial Velocity,2454415.6,3.0,2.9,1078.0,2.0,2.0,,,,,,,,,,,,,13.2,,,,,,1.21,0.04,0.06,0.032,0.014,0.014,1.06,0.13,0.14,,,
47 UMa c,Radial Velocity,2455651.0,59.0,46.0,2391.0,100.0,87.0,,,,,,,,,,,,,14.2,,,,,,1.21,0.04,0.06,0.098,0.047,0.096,1.06,0.13,0.14,,,
47 UMa d,Radial Velocity,2451820.0,170.0,200.0,14002.0,4018.0,5095.0,,,,,,,,,,,,,13.5,,,,,,1.21,0.04,0.06,0.16,0.09,0.16,1.06,0.13,0.14,,,
55 Cnc b,Radial Velocity,2455803.293,0.014,0.014,14.6516,0.0001,0.0001,,,,,,,89.73,24.49,24.54,,,,13.9,,,,,,0.94,0.01,0.01,0.0,0.01,0.01,0.91,0.02,0.02,,,
55 Cnc c,Radial Velocity,2455846.83,0.43,0.48,44.3989,0.0042,0.0043,,,,,,,89.73,24.49,24.54,,,,8.51,,,,,,0.94,0.01,0.01,0.03,0.02,0.02,0.91,0.02,0.02,,,
55 Cnc d,Radial Velocity,2455790.0,120.0,91.0,5574.2,93.8,88.6,,,,,,,89.73,24.49,24.54,,,,13.0,,,,,,0.94,0.01,0.01,0.13,0.02,0.02,0.91,0.02,0.02,,,
55 Cnc e,Radial Velocity,2457063.2096,0.0006,0.0004,0.7365474,1.3e-06,1.4e-06,1.555016,0.0273325,0.0273325,72.4,12.7,11.5,83.59,0.47,0.44,0.39,0.03,0.03,1.875,0.029,0.029,3.52,0.01,0.01,0.94,0.01,0.01,0.05,0.03,0.03,0.91,0.02,0.02,0.0182,0.0002,0.0002
